DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
3/1/2018,40,53,47,642,1828
3/2/2018,40,54,47,641,1828
3/3/2018,40,52,46,640,1828
3/4/2018,38,54,46,640,1829
3/5/2018,34,46,40,639,1829
3/6/2018,31,46,39,638,1829
3/7/2018,30,44,37,637,1830
3/8/2018,31,44,38,637,1830
3/9/2018,33,46,40,636,1830
3/10/2018,35,49,42,635,1831
3/11/2018,35,52,44,634,1831
3/12/2018,39,44,42,633,1831
3/13/2018,38,44,41,632,1832
3/14/2018,39,48,44,632,1832
3/15/2018,36,47,42,631,1832
3/16/2018,36,47,42,630,1832
3/17/2018,38,49,44,629,1833
3/18/2018,36,52,44,628,1833
3/19/2018,35,48,42,627,1833
3/20/2018,35,45,40,626,1833
3/21/2018,37,46,42,626,1834
3/22/2018,36,45,41,625,1834
3/23/2018,38,50,44,624,1834
3/24/2018,33,42,38,623,1834
3/25/2018,35,49,42,622,1835
3/26/2018,34,45,40,621,1835
3/27/2018,33,53,43,620,1835
3/28/2018,35,55,45,620,1835
3/29/2018,35,52,44,619,1836
3/30/2018,33,53,43,618,1836
3/31/2018,34,47,41,617,1836
4/1/2018,34,52,43,616,1836
4/2/2018,41,53,47,615,1837
4/3/2018,41,51,46,614,1837
4/4/2018,44,58,51,614,1837
4/5/2018,42,55,49,613,1838
4/6/2018,41,54,48,612,1838
4/7/2018,40,48,44,611,1838
4/8/2018,38,50,44,610,1838
4/9/2018,39,47,43,610,1839
4/10/2018,39,53,46,609,1839
4/11/2018,37,54,46,608,1839
4/12/2018,37,53,45,607,1839
4/13/2018,34,49,42,606,1840
4/14/2018,34,51,43,606,1840
4/15/2018,35,47,41,605,1840
4/16/2018,39,49,44,604,1841
4/17/2018,37,53,45,603,1841
4/18/2018,38,57,48,602,1841
4/19/2018,37,49,43,602,1841
4/20/2018,35,42,39,601,1842
4/21/2018,37,51,44,600,1842
4/22/2018,37,58,48,600,1842
4/23/2018,40,60,50,559,1843
4/24/2018,38,56,47,558,1843
4/25/2018,35,50,43,558,1843
4/26/2018,37,51,44,557,1844
4/27/2018,37,53,45,556,1844
4/28/2018,38,53,46,556,1844
4/29/2018,40,59,50,555,1845
4/30/2018,43,53,48,554,1845
5/1/2018,43,54,49,554,1845
5/2/2018,42,50,46,553,1846
5/3/2018,41,54,48,553,1846
5/4/2018,38,54,46,552,1846
5/5/2018,38,57,48,552,1847
5/6/2018,42,54,48,551,1847
5/7/2018,42,55,49,550,1847
5/8/2018,42,55,49,550,1848
5/9/2018,42,57,50,550,1848
5/10/2018,41,55,48,549,1849
5/11/2018,37,54,46,549,1849
5/12/2018,36,54,45,548,1849
5/13/2018,34,53,44,548,1850
5/14/2018,36,52,44,547,1850
5/15/2018,39,52,46,547,1851
5/16/2018,36,52,44,547,1851
5/17/2018,38,50,44,546,1851
5/18/2018,37,54,46,546,1852
5/19/2018,41,59,50,546,1852
5/20/2018,40,59,50,545,1853
5/21/2018,42,55,49,545,1853
5/22/2018,41,59,50,545,1853
5/23/2018,43,61,52,545,1854
5/24/2018,46,66,56,544,1854
5/25/2018,47,62,55,544,1855
5/26/2018,47,64,56,544,1855
5/27/2018,45,60,53,544,1855
5/28/2018,41,58,50,544,1856
5/29/2018,44,50,47,543,1856
5/30/2018,43,60,52,543,1856
5/31/2018,45,65,55,543,1857
6/1/2018,47,58,53,543,1857
6/2/2018,45,63,54,543,1858
6/3/2018,46,65,56,543,1858
6/4/2018,46,64,55,543,1858
6/5/2018,44,59,52,543,1859
6/6/2018,39,53,46,543,1859
6/7/2018,40,57,49,543,1859
6/8/2018,38,56,47,543,1900
6/9/2018,41,59,50,543,1900
6/10/2018,40,57,49,543,1900
6/11/2018,39,57,48,543,1901
6/12/2018,38,52,45,543,1901
6/13/2018,39,53,46,543,1901
6/14/2018,38,55,47,544,1902
6/15/2018,40,53,47,544,1902
6/16/2018,37,55,46,544,1902
6/17/2018,43,59,51,544,1902
6/18/2018,44,58,51,544,1903
6/19/2018,42,59,51,544,1903
6/20/2018,45,61,53,545,1903
6/21/2018,44,59,52,545,1903
6/22/2018,44,60,52,545,1904
6/23/2018,44,61,53,545,1904
6/24/2018,42,60,51,545,1904
6/25/2018,40,57,49,546,1904
6/26/2018,40,57,49,546,1904
6/27/2018,39,60,50,546,1904
6/28/2018,42,60,51,546,1905
6/29/2018,39,55,47,547,1905
6/30/2018,41,58,50,547,1905
7/1/2018,40,52,46,547,1905
7/2/2018,40,48,44,548,1905
7/3/2018,39,52,46,548,1905
7/4/2018,40,54,47,548,1905
7/5/2018,39,63,51,549,1905
7/6/2018,41,60,51,549,1905
7/7/2018,39,55,47,549,1905
7/8/2018,39,53,46,550,1905
7/9/2018,36,50,43,550,1905
7/10/2018,37,56,47,550,1905
7/11/2018,43,59,51,551,1905
7/12/2018,45,57,51,551,1905
7/13/2018,45,61,53,551,1904
7/14/2018,42,55,49,552,1904
7/15/2018,42,54,48,552,1904
7/16/2018,41,63,52,553,1904
7/17/2018,44,62,53,553,1904
7/18/2018,42,59,51,553,1904
7/19/2018,41,58,50,554,1903
7/20/2018,40,59,50,554,1903
7/21/2018,45,61,53,554,1903
7/22/2018,44,63,54,555,1902
7/23/2018,45,61,53,555,1902
7/24/2018,43,58,51,556,1902
7/25/2018,42,57,50,556,1901
7/26/2018,43,56,50,556,1901
7/27/2018,43,59,51,557,1901
7/28/2018,44,61,53,557,1900
7/29/2018,47,58,53,557,1900
7/30/2018,42,55,49,558,1859
7/31/2018,40,59,50,558,1859
8/1/2018,40,60,50,558,1859
8/2/2018,38,56,47,559,1858
8/3/2018,40,57,49,559,1858
8/4/2018,41,61,51,559,1857
8/5/2018,45,65,55,600,1857
8/6/2018,46,65,56,600,1856
8/7/2018,46,64,55,600,1855
8/8/2018,44,54,49,601,1855
8/9/2018,45,58,52,601,1854
8/10/2018,41,56,49,601,1854
8/11/2018,40,57,49,602,1853
8/12/2018,40,60,50,602,1852
8/13/2018,42,58,50,602,1852
8/14/2018,39,55,47,603,1851
8/15/2018,40,55,48,603,1850
8/16/2018,40,53,47,603,1850
8/17/2018,40,54,47,603,1849
8/18/2018,41,60,51,604,1848
8/19/2018,41,58,50,604,1848
8/20/2018,41,58,50,604,1847
8/21/2018,41,58,50,604,1846
8/22/2018,42,51,47,605,1845
8/23/2018,44,48,46,605,1845
8/24/2018,45,54,50,605,1844
8/25/2018,44,55,50,605,1843
8/26/2018,43,49,46,606,1842
8/27/2018,42,49,46,606,1841
8/28/2018,40,50,45,606,1841
